dgp,model,test_nll,prob_mse,prob_mae,precision_mae,seed,learned_b_global,learned_b_obj0,learned_b_obj1
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.6236639511917478,0.014943148635744193,0.10106291180715583,,0,0.09673678874969482,0.9184068,-0.8227362
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.6206313451499779,0.014823055255977562,0.10058820190769154,,1,-0.08642064779996872,0.9723185,-1.451045
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.6197204310208748,0.014770502855183174,0.10031274944919365,,2,0.1206970363855362,1.0572077,-0.8925891
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.6225304520582143,0.015002665527490518,0.10160055647201595,,3,0.16122572124004364,1.0544063,-0.7839918
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.6179086755412702,0.0150181066949104,0.10137428652233084,,4,0.01554997731000185,0.9374954,-0.95028085
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.6142590833148026,0.015306743970715662,0.10259181833734017,,5,-0.11664772778749466,1.0213733,-1.6419924
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.621211666167365,0.01503145682322616,0.10132335798911316,,6,0.035587117075920105,0.91512245,-0.8875519
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.6182094699418107,0.014832304403212444,0.10091622621871495,,7,0.06425772607326508,0.9920582,-1.0256714
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.6260602797298687,0.01471267909264808,0.10023913321367173,,8,0.1040167585015297,1.0604308,-1.0177796
bt_objective_uncertainty,No uncertainty BT: sigmoid(gap),0.6255998901810653,0.014873693138292265,0.10095657187254233,,9,0.060106344521045685,0.9329206,-0.92696214
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6238312641675571,0.014657644658190264,0.10105086575736749,,0,0.09673678874969482,0.9184068,-0.8227362
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6214357837570987,0.015281258290179244,0.10056464180077528,,1,-0.08642064779996872,0.9723185,-1.451045
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6197147904983693,0.014469293498065932,0.10028475566083198,,2,0.1206970363855362,1.0572077,-0.8925891
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6233604929383403,0.014838512215882966,0.10193174257514998,,3,0.16122572124004364,1.0544063,-0.7839918
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6177856560677575,0.014954815161499059,0.10137729632497171,,4,0.01554997731000185,0.9374954,-0.95028085
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6159551963962498,0.016013433605683157,0.10267154563331224,,5,-0.11664772778749466,1.0213733,-1.6419924
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6210779688598783,0.014884081460580413,0.10129051826790916,,6,0.035587117075920105,0.91512245,-0.8875519
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6178825204570975,0.014621234739555036,0.10094126808895698,,7,0.06425772607326508,0.9920582,-1.0256714
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6264696704210773,0.014430575847946799,0.10025132299736751,,8,0.1040167585015297,1.0604308,-1.0177796
bt_objective_uncertainty,Global uncertainty BT: sigmoid(exp(b) gap),0.6257940623512314,0.014682739767036879,0.10097321408549381,,9,0.060106344521045685,0.9329206,-0.92696214
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.5758980835010147,0.00015857207661474742,0.010156973372465707,0.12942850589752197,0,0.09673678874969482,0.9184068,-0.8227362
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.5776636475676471,0.00036079970282558465,0.011466464118211827,0.23936328291893005,1,-0.08642064779996872,0.9723185,-1.451045
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.5762737596504074,6.43432203714232e-05,0.006466325008440387,0.0823093056678772,2,0.1206970363855362,1.0572077,-0.8925891
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.5801935178986464,0.00017494931500401566,0.009813287618735107,0.13520723581314087,3,0.16122572124004364,1.0544063,-0.7839918
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.5721831554542136,4.690843760557905e-05,0.005271812672526555,0.05611187219619751,4,0.01554997731000185,0.9374954,-0.95028085
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.569366427804534,0.0006331314479866733,0.0143328050650185,0.33168286085128784,5,-0.11664772778749466,1.0213733,-1.6419924
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.5741268942157473,0.00011070063011911304,0.00848653838297673,0.09866282343864441,6,0.035587117075920105,0.91512245,-0.8875519
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.5722497001876703,2.228530452881395e-06,0.0011598150422005085,0.016806572675704956,7,0.06425772607326508,0.9920582,-1.0256714
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.5860591526625945,3.8310272429357974e-05,0.004238553904362443,0.03910517692565918,8,0.1040167585015297,1.0604308,-1.0177796
bt_objective_uncertainty,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.5759162733527035,6.0381955709482626e-05,0.006187711132479751,0.07005864381790161,9,0.060106344521045685,0.9329206,-0.92696214
bt_objective_uncertainty,Oracle p*,0.5750271448545287,0.0,0.0,0.0,0,0.09673678874969482,0.9184068,-0.8227362
bt_objective_uncertainty,Oracle p*,0.5767712027991793,0.0,0.0,0.0,1,-0.08642064779996872,0.9723185,-1.451045
bt_objective_uncertainty,Oracle p*,0.5759955251040859,0.0,0.0,0.0,2,0.1206970363855362,1.0572077,-0.8925891
bt_objective_uncertainty,Oracle p*,0.5797507148851088,0.0,0.0,0.0,3,0.16122572124004364,1.0544063,-0.7839918
bt_objective_uncertainty,Oracle p*,0.5718884290536086,0.0,0.0,0.0,4,0.01554997731000185,0.9374954,-0.95028085
bt_objective_uncertainty,Oracle p*,0.5675189103123994,0.0,0.0,0.0,5,-0.11664772778749466,1.0213733,-1.6419924
bt_objective_uncertainty,Oracle p*,0.573539858287868,0.0,0.0,0.0,6,0.035587117075920105,0.91512245,-0.8875519
bt_objective_uncertainty,Oracle p*,0.5722136593610451,0.0,0.0,0.0,7,0.06425772607326508,0.9920582,-1.0256714
bt_objective_uncertainty,Oracle p*,0.585378805773303,0.0,0.0,0.0,8,0.1040167585015297,1.0604308,-1.0177796
bt_objective_uncertainty,Oracle p*,0.5754298792530472,0.0,0.0,0.0,9,0.060106344521045685,0.9329206,-0.92696214
label_flip_noise,No uncertainty BT: sigmoid(gap),0.6239495745690672,0.0014402065015256542,0.027034162496423556,,0,0.04977346584200859,0.301378,-0.2269021
label_flip_noise,No uncertainty BT: sigmoid(gap),0.619887432197814,0.0014670882226723502,0.027168582166852702,,1,-0.07436401396989822,0.21537746,-0.38569328
label_flip_noise,No uncertainty BT: sigmoid(gap),0.6202904772019922,0.0014601903007709998,0.02705101535420697,,2,0.03655180335044861,0.25869754,-0.21506113
label_flip_noise,No uncertainty BT: sigmoid(gap),0.6237752772363085,0.0014620276718889558,0.02727540787478446,,3,0.03227809816598892,0.32781202,-0.29484662
label_flip_noise,No uncertainty BT: sigmoid(gap),0.6166409632005965,0.001473463904431769,0.027317024873574042,,4,0.12045150250196457,0.3577192,-0.10464946
label_flip_noise,No uncertainty BT: sigmoid(gap),0.6145051308144978,0.0015205222844020042,0.027914275542970678,,5,-0.08612411469221115,0.2708412,-0.455192
label_flip_noise,No uncertainty BT: sigmoid(gap),0.6183448770592664,0.0014669424953039705,0.027263573356536928,,6,0.07062048465013504,0.27346832,-0.13197649
label_flip_noise,No uncertainty BT: sigmoid(gap),0.6157379416732068,0.001442959213704888,0.027009970175602888,,7,0.06571715325117111,0.27263635,-0.16028509
label_flip_noise,No uncertainty BT: sigmoid(gap),0.6310760065781161,0.001420501217759622,0.026755216292580222,,8,0.0830007940530777,0.3124492,-0.17437096
label_flip_noise,No uncertainty BT: sigmoid(gap),0.6285922896461573,0.0014661414457744365,0.02723281469461378,,9,0.027604149654507637,0.3028931,-0.2664585
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.6239211756476141,0.001341489291825854,0.027032154801483636,,0,0.04977346584200859,0.301378,-0.2269021
