dgp,model_key,model,weight,mo_nll,mo_prob_mse,mo_prob_mae,seed,decision_regret
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.00,1.00)",0.6018922927417196,0.0,0.0,0,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.50,0.00)",0.6620695414119849,0.0,0.0,0,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.00,0.50)",0.6338204535956307,0.0,0.0,0,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.50,0.50)",0.6399565845279513,0.0,0.0,0,
objective_specific_noise,oracle,Oracle latent utility,"(0.33,0.33,0.33)",0.6611908227467187,0.0,0.0,0,
objective_specific_noise,oracle,Oracle latent utility,"(0.20,0.60,0.20)",0.6526080744995013,0.0,0.0,0,
objective_specific_noise,oracle,Oracle latent utility,"(0.60,0.30,0.10)",0.655237517815871,0.0,0.0,0,
objective_specific_noise,standard,Standard scalarized BT,"(1.00,0.00,0.00)",0.6164717082856558,0.004018749781718964,0.04974362771930237,1,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,1.00,0.00)",0.7299323695555421,0.046817560202334275,0.17369280126054504,1,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.00,1.00)",0.6485411274496536,0.019242488756347712,0.10997784370951319,1,
objective_specific_noise,standard,Standard scalarized BT,"(0.50,0.50,0.00)",0.7007850584123415,0.018215993663555505,0.1089826364193824,1,
objective_specific_noise,standard,Standard scalarized BT,"(0.50,0.00,0.50)",0.6430584597496343,0.006854173504598348,0.06591159793612217,1,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.50,0.50)",0.6851152506341232,0.021075123809153298,0.11636221290376207,1,
objective_specific_noise,standard,Standard scalarized BT,"(0.33,0.33,0.33)",0.6787020275932059,0.011374643337288125,0.08575163615187498,1,
objective_specific_noise,standard,Standard scalarized BT,"(0.20,0.60,0.20)",0.701510264376327,0.024107380446857927,0.12562044021556412,1,
objective_specific_noise,standard,Standard scalarized BT,"(0.60,0.30,0.10)",0.6745460758454264,0.008478671164795058,0.07381783876856778,1,
objective_specific_noise,shared_precision,Shared-precision BT,"(1.00,0.00,0.00)",0.6165905514538641,0.004703995826042287,0.0565350403117716,1,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,1.00,0.00)",0.6826507820496563,0.03452984296064774,0.14727090918821137,1,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.00,1.00)",0.6334331973259534,0.014740544379929608,0.09630430158672205,1,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.50,0.00)",0.6850896435401724,0.012206322465375886,0.08802887056286304,1,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.00,0.50)",0.6411703404687313,0.005841309727807844,0.061553177548549956,1,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.50,0.50)",0.6673334912609816,0.01484168246726535,0.09692594706361467,1,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.33,0.33,0.33)",0.6713006281159816,0.007900298889202342,0.07099988735526236,1,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.20,0.60,0.20)",0.6813361842199098,0.016242258441958743,0.10157550613935229,1,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.60,0.30,0.10)",0.6688897834892461,0.006340293860486851,0.06372230168149981,1,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(1.00,0.00,0.00)",0.6164717082856558,0.004018749781718964,0.04974362771930237,1,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,1.00,0.00)",0.7299323695555421,0.046817560202334275,0.17369280126054504,1,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.00,1.00)",0.6485411274496536,0.019242488756347712,0.10997784370951319,1,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.50,0.00)",0.6868678757073509,0.013430448952223974,0.09372710698808312,1,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.00,0.50)",0.6413947689155273,0.006124904288124002,0.062243778245151135,1,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.50,0.50)",0.6800028703480846,0.019044482900744807,0.11083990488072527,1,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.33,0.33,0.33)",0.6768346429450188,0.009003575826847217,0.07645437005433865,1,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.20,0.60,0.20)",0.6873605071140968,0.019344798866247872,0.1118391543987721,1,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.60,0.30,0.10)",0.6673811338576111,0.006569772189107184,0.06539306770493052,1,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(1.00,0.00,0.00)",0.616328552846607,0.003986153030128361,0.0495482172525298,1,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,1.00,0.00)",0.6642158065199792,0.028480462189119815,0.13407468319765403,1,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.00,1.00)",0.6347286933294009,0.015160400923342641,0.09741652740161931,1,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.50,0.00)",0.6779954281209899,0.009725983664892118,0.07915872344228649,1,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.00,0.50)",0.639745893476554,0.005383229567657805,0.058178202815769554,1,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.50,0.50)",0.6624199795321083,0.012678884597095787,0.09011735771585012,1,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.33,0.33,0.33)",0.6712136766568144,0.0066259055759375005,0.06519830050205944,1,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.20,0.60,0.20)",0.6740740542740332,0.013244922488631329,0.09200981946563937,1,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.60,0.30,0.10)",0.6635621127270759,0.004963468989569638,0.05623290612323624,1,
objective_specific_noise,oracle,Oracle latent utility,"(1.00,0.00,0.00)",0.6072659953211478,0.0,0.0,1,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,1.00,0.00)",0.5954224575826691,0.0,0.0,1,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.00,1.00)",0.5965466896404203,0.0,0.0,1,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.50,0.00)",0.6547691978926452,0.0,0.0,1,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.00,0.50)",0.6271377092331694,0.0,0.0,1,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.50,0.50)",0.6297425200018768,0.0,0.0,1,
objective_specific_noise,oracle,Oracle latent utility,"(0.33,0.33,0.33)",0.6564139321014298,0.0,0.0,1,
objective_specific_noise,oracle,Oracle latent utility,"(0.20,0.60,0.20)",0.6490840213538313,0.0,0.0,1,
objective_specific_noise,oracle,Oracle latent utility,"(0.60,0.30,0.10)",0.6520732069360314,0.0,0.0,1,
objective_specific_noise,standard,Standard scalarized BT,"(1.00,0.00,0.00)",0.6092099903465346,0.0038804778001930024,0.048812407848552175,2,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,1.00,0.00)",0.7377349259610874,0.04854662219941888,0.17662525902629836,2,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.00,1.00)",0.644761809183329,0.019692514232141432,0.11073029251388568,2,
objective_specific_noise,standard,Standard scalarized BT,"(0.50,0.50,0.00)",0.7059484284282157,0.018927477235476064,0.11089674906946213,2,
objective_specific_noise,standard,Standard scalarized BT,"(0.50,0.00,0.50)",0.6513247610305298,0.006825235548138032,0.06576686847813547,2,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.50,0.50)",0.6837900712106062,0.021352834334517574,0.11641357958932518,2,
objective_specific_noise,standard,Standard scalarized BT,"(0.33,0.33,0.33)",0.6845187736819869,0.01144222668567064,0.08535624810668921,2,
objective_specific_noise,standard,Standard scalarized BT,"(0.20,0.60,0.20)",0.7076308902178418,0.02487288389863999,0.12714360171351038,2,
objective_specific_noise,standard,Standard scalarized BT,"(0.60,0.30,0.10)",0.6786907354021481,0.00865840268035175,0.07416863648648418,2,
objective_specific_noise,shared_precision,Shared-precision BT,"(1.00,0.00,0.00)",0.6098228209525023,0.004144554172602305,0.05205893721147377,2,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,1.00,0.00)",0.693229034094438,0.037529079937632784,0.1530275764891872,2,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.00,1.00)",0.6325478948064382,0.015605949927973066,0.09873052233096662,2,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.50,0.00)",0.6904964157843451,0.0132817542521868,0.09168764009149062,2,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.00,0.50)",0.6475531169124285,0.005836585697898821,0.06115456182169627,2,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.50,0.50)",0.6683033162460887,0.015731221484743672,0.0988212400397967,2,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.33,0.33,0.33)",0.6765810093528111,0.008296437093206205,0.07200323765992693,2,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.20,0.60,0.20)",0.6880309735519637,0.01769268252216031,0.10576384788560417,2,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.60,0.30,0.10)",0.6723712056820911,0.006521454841168021,0.06381840192792931,2,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(1.00,0.00,0.00)",0.6092099903465346,0.0038804778001930024,0.048812407848552175,2,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,1.00,0.00)",0.7377349259610874,0.04854662219941888,0.17662525902629836,2,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.00,1.00)",0.644761809183329,0.019692514232141432,0.11073029251388568,2,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.50,0.00)",0.6955606463727854,0.01479159336518283,0.09818237794494045,2,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.00,0.50)",0.6501746340681698,0.0063541050927523254,0.063431612494965,2,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.50,0.50)",0.6783574271447386,0.019409932163632647,0.11061336282807296,2,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.33,0.33,0.33)",0.6807947851763622,0.009394035276442477,0.07714780228506533,2,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.20,0.60,0.20)",0.6973424980960435,0.02100466046994588,0.11618434778593768,2,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.60,0.30,0.10)",0.6761387916901159,0.006809748911943302,0.06612617174468369,2,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(1.00,0.00,0.00)",0.6085006713790506,0.0036543531335409313,0.04734743707328931,2,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,1.00,0.00)",0.6746012374248037,0.03194670365500805,0.14099217414189205,2,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.00,1.00)",0.6344932103010259,0.016335922171777543,0.10061001421859841,2,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.50,0.00)",0.6846425411195544,0.01071078778489792,0.08262933762999142,2,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.00,0.50)",0.6475913777651416,0.005616537415229896,0.059633687470248546,2,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.50,0.50)",0.6634153713142578,0.013765038162406922,0.0924406228716762,2,
