dgp,model_key,model,obj_nll_mean,obj_nll_std,obj_prob_mse_mean,obj_prob_mse_std,obj_prob_mae_mean,obj_prob_mae_std,mo_nll_mean,mo_nll_std,mo_prob_mse_mean,mo_prob_mse_std,mo_prob_mae_mean,mo_prob_mae_std,decision_regret_mean,decision_regret_std,learned_b_global_mean,learned_b_global_std,learned_b_obj0_mean,learned_b_obj0_std,scorer_noise_sigma0_mean,scorer_noise_sigma0_std,learned_b_obj1_mean,learned_b_obj1_std,scorer_noise_sigma1_mean,scorer_noise_sigma1_std,learned_b_obj2_mean,learned_b_obj2_std,scorer_noise_sigma2_mean,scorer_noise_sigma2_std
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6333966452080847,0.003453989938598185,0.014671668193389775,0.00019281353748481898,0.09721626347657916,0.0010527056729831275,0.6551629931391003,0.0015678844241696513,0.010763862390468129,0.0002472101003449438,0.0811942344624032,0.0009343370570078763,0.16844807681824717,0.0017340973944027212,-0.48422336876392363,0.0596441004072563,-0.4499826967716217,0.09861667847171146,0.7,0.0,-0.48654195070266726,0.11252271990216546,0.7,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
equal_noise_control,oracle,Oracle latent utility,,,,,,,0.6315624606131276,0.0014125761122956437,0.0,0.0,0.0,0.0,0.0,0.0,-0.48422336876392363,0.0596441004072563,-0.4499826967716217,0.09861667847171146,0.7,0.0,-0.48654195070266726,0.11252271990216546,0.7,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,,,,0.663912734305717,0.0019337290899480385,0.013828396963692752,0.00015859985967974676,0.09259245268351209,0.0006481892315143883,0.16844807681824717,0.0017340973944027212,-0.48422336876392363,0.0596441004072563,-0.4499826967716217,0.09861667847171146,0.7,0.0,-0.48654195070266726,0.11252271990216546,0.7,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
equal_noise_control,shared_precision,Shared-precision BT,0.6330506968611563,0.00336921577313795,0.014533906831485486,0.00012254713186911042,0.09673018334934645,0.0009469519516720367,0.6550275423198796,0.0015815486927831099,0.010704531239024321,0.00022440111504205883,0.08094782898393352,0.0008186382327656656,0.168026009056126,0.0019368338167932604,-0.48422336876392363,0.0596441004072563,-0.4499826967716217,0.09861667847171146,0.7,0.0,-0.48654195070266726,0.11252271990216546,0.7,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
equal_noise_control,standard,Standard scalarized BT,0.6494190864677682,0.004900651799571012,0.019524344775778506,0.00012180341245752713,0.11029649130781109,0.0004892295854889788,0.6638238121476513,0.001916678095807138,0.013789797684376071,0.00012611061211414775,0.0924494887423524,0.0005393354010209627,0.168026009056126,0.0019368338167932604,-0.48422336876392363,0.0596441004072563,-0.4499826967716217,0.09861667847171146,0.7,0.0,-0.48654195070266726,0.11252271990216546,0.7,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.6336876468055106,0.0031538353693244293,0.014763126497875331,0.0001682423005074691,0.09259519891622085,0.0007656506138546768,0.6570135590838613,0.0015804098457055645,0.011521459701206428,0.0004005843158038325,0.08111310078445648,0.0012946940276469074,0.18199666305648565,0.002432949283557449,-0.6024655759334564,0.057864344993647815,-0.07470499924384058,0.08314485228452055,0.3,0.0,-1.0347908914089203,0.11960907240324499,1.2,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
objective_specific_noise,oracle,Oracle latent utility,,,,,,,0.6315624606131276,0.0014125761122956437,0.0,0.0,0.0,0.0,0.0,0.0,-0.6024655759334564,0.057864344993647815,-0.07470499924384058,0.08314485228452055,0.3,0.0,-1.0347908914089203,0.11960907240324499,1.2,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,,,,0.6721637755757712,0.002021013974624991,0.01631695732123697,0.00029621863223521194,0.09578413860486097,0.0009552274231153369,0.18199666305648565,0.002432949283557449,-0.6024655759334564,0.057864344993647815,-0.07470499924384058,0.08314485228452055,0.3,0.0,-1.0347908914089203,0.11960907240324499,1.2,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
objective_specific_noise,shared_precision,Shared-precision BT,0.6397523556129447,0.00316101042352183,0.017186552384348897,0.00013643291856245223,0.10333318610641651,0.0012882775273486246,0.6615791031295732,0.0017490297827578954,0.013248700941915065,0.00034111618095519097,0.08736811710837653,0.0008144760015701488,0.1952344059300082,0.003151092673713666,-0.6024655759334564,0.057864344993647815,-0.07470499924384058,0.08314485228452055,0.3,0.0,-1.0347908914089203,0.11960907240324499,1.2,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
objective_specific_noise,standard,Standard scalarized BT,0.6653188093126077,0.005132552956172841,0.02366668542328812,0.00021911394392000108,0.11151844241382303,0.00048511008247772574,0.6763738129653902,0.0021097834678700644,0.017974171759175633,0.00017705098601698103,0.10151491164638768,0.0005700464511253973,0.1952344059300082,0.003151092673713666,-0.6024655759334564,0.057864344993647815,-0.07470499924384058,0.08314485228452055,0.3,0.0,-1.0347908914089203,0.11960907240324499,1.2,0.0,-0.5186228185892106,0.10576922161504099,0.7,0.0
