dgp,model_key,model,weight,mo_nll_mean,mo_nll_std,mo_prob_mse_mean,mo_prob_mse_std,mo_prob_mae_mean,mo_prob_mae_std,decision_regret_mean,decision_regret_std
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.00,1.00)",0.6353361304659247,0.002753387927953761,0.015390592263224038,0.0005023688346614492,0.09780440774566074,0.001293756673165549,,
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.50,0.50)",0.6553084946695431,0.004711429459430827,0.00887432758035098,0.0002795941053926092,0.07480175528807388,0.0009528591881220477,,
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,1.00,0.00)",0.633253493255317,0.0060259648721182404,0.01559091184388714,0.0006734325253083879,0.09820126260832572,0.0018249958862287467,,
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.20,0.60,0.20)",0.6682376439914972,0.00441925066351188,0.008088624002854128,0.0003549048616649433,0.07169286268255633,0.0015047343524899376,,
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.33,0.33,0.33)",0.6692976180898922,0.003011675992329255,0.006358597984464717,0.0002213869225341014,0.06361400326763557,0.001142985642317301,,
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.00,0.50)",0.6510217487673325,0.004070586420647947,0.008911204416489025,0.00021790601195357135,0.07499204858830447,0.0009658912394637226,,
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.50,0.00)",0.6775012907527802,0.004240202006442156,0.009198871085613354,0.0003737610754692147,0.07662071532859441,0.0016399287510504347,,
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.60,0.30,0.10)",0.6716853175408769,0.0024832547526078613,0.008566309262670756,0.00030044456168352404,0.07379659953279416,0.0014821493782128186,,
equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,"(1.00,0.00,0.00)",0.634825200718738,0.006979132359009662,0.015895323074659032,0.0004967111735483909,0.09922445511968359,0.0017032436666664656,,
equal_noise_control,oracle,Oracle latent utility,"(0.00,0.00,1.00)",0.5998002056608928,0.0037750092538943376,0.0,0.0,0.0,0.0,,
equal_noise_control,oracle,Oracle latent utility,"(0.00,0.50,0.50)",0.6361564036321365,0.005651233194760478,0.0,0.0,0.0,0.0,,
equal_noise_control,oracle,Oracle latent utility,"(0.00,1.00,0.00)",0.5972090674076053,0.007158366936891252,0.0,0.0,0.0,0.0,,
equal_noise_control,oracle,Oracle latent utility,"(0.20,0.60,0.20)",0.6503748490357303,0.003717575952370762,0.0,0.0,0.0,0.0,,
equal_noise_control,oracle,Oracle latent utility,"(0.33,0.33,0.33)",0.6581030664711253,0.0032524736773833786,0.0,0.0,0.0,0.0,,
equal_noise_control,oracle,Oracle latent utility,"(0.50,0.00,0.50)",0.6312776228376153,0.0050580301100242,0.0,0.0,0.0,0.0,,
equal_noise_control,oracle,Oracle latent utility,"(0.50,0.50,0.00)",0.6581658191387058,0.004540101549574675,0.0,0.0,0.0,0.0,,
equal_noise_control,oracle,Oracle latent utility,"(0.60,0.30,0.10)",0.654371756045063,0.00400186539585958,0.0,0.0,0.0,0.0,,
equal_noise_control,oracle,Oracle latent utility,"(1.00,0.00,0.00)",0.5986033552892744,0.004757277265183636,0.0,0.0,0.0,0.0,,
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.00,1.00)",0.6488787873888028,0.004536862446191093,0.01947289365607259,0.0003623878972604308,0.1102594773240984,0.0010195020681374126,,
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.50,0.50)",0.6628861716201051,0.006505691852060145,0.011485108439590365,0.0002549307207246174,0.08543941648007052,0.0009058720797484708,,
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,"(0.00,1.00,0.00)",0.6457056652119808,0.008105371624976515,0.019489491806488596,0.0003025128961361703,0.11019131095504398,0.0007986641876073786,,
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,"(0.20,0.60,0.20)",0.6751465355538013,0.005805178798523307,0.01072442857429134,0.00036684371072858313,0.08303665665981799,0.0014698144876318328,,
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,"(0.33,0.33,0.33)",0.6739015897544999,0.0038196837773978973,0.00846345880363515,0.0002232107132272845,0.07373362010021803,0.001057451411375876,,
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.00,0.50)",0.6577185636529034,0.005042324423809104,0.011275735221570186,0.00029920540991266146,0.0844981617633297,0.001159257563498867,,
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.50,0.00)",0.6855543223938076,0.004973985364211126,0.012492968184865838,0.00019943384474031004,0.08997312928176485,0.0008197546631271116,,
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,"(0.60,0.30,0.10)",0.6787791897575868,0.0025863156720933025,0.011440839121946355,0.00028009673029502104,0.0857616159429743,0.0012489043140786347,,
equal_noise_control,pcma_normalized,PCMA-normalized scalarization,"(1.00,0.00,0.00)",0.6466437834179642,0.007799544518468187,0.01961064886477434,0.00045061469836910246,0.1104386856442909,0.001159524451105437,,
equal_noise_control,shared_precision,Shared-precision BT,"(0.00,0.00,1.00)",0.6358003811285164,0.0034074408380879648,0.015525784558650325,0.000507327237108195,0.09812791410508608,0.001340767636492833,,
equal_noise_control,shared_precision,Shared-precision BT,"(0.00,0.50,0.50)",0.6552287570449111,0.00452767123641856,0.008889818849933916,0.0002067957844594579,0.07484984347860388,0.0007196396531540404,,
equal_noise_control,shared_precision,Shared-precision BT,"(0.00,1.00,0.00)",0.6331526320045753,0.00618071680932111,0.01554887981054677,0.0004501593136309169,0.0980333608955019,0.001152908258764712,,
equal_noise_control,shared_precision,Shared-precision BT,"(0.20,0.60,0.20)",0.6681173413487834,0.004451153193642255,0.008032458896440603,0.00022868711155219938,0.0714527383696967,0.0010111085766635129,,
equal_noise_control,shared_precision,Shared-precision BT,"(0.33,0.33,0.33)",0.6692017321961294,0.003211210132832522,0.006309512595061741,0.00018339473520532422,0.06336989532074717,0.0009895182187224737,,
equal_noise_control,shared_precision,Shared-precision BT,"(0.50,0.00,0.50)",0.6509483027615064,0.00403825368558362,0.008873784879303456,0.00020293469486159127,0.07484321779608832,0.0008884935765954555,,
equal_noise_control,shared_precision,Shared-precision BT,"(0.50,0.50,0.00)",0.677329186116848,0.004261886033290206,0.00906081481509543,0.00032144501665604976,0.0760688253951451,0.00143629921590174,,
equal_noise_control,shared_precision,Shared-precision BT,"(0.60,0.30,0.10)",0.6713918985986302,0.0026551656589170326,0.008425118960278236,0.00020091111210421712,0.07321878130415128,0.0010848084557635819,,
equal_noise_control,shared_precision,Shared-precision BT,"(1.00,0.00,0.00)",0.6340776496790167,0.006142896568635726,0.015674607785908415,0.00018090016816763605,0.09856588419038124,0.0007376621472105849,,
equal_noise_control,standard,Standard scalarized BT,"(0.00,0.00,1.00)",0.6488787873888028,0.004536862446191093,0.01947289365607259,0.0003623878972604308,0.1102594773240984,0.0010195020681374126,,
equal_noise_control,standard,Standard scalarized BT,"(0.00,0.50,0.50)",0.6625799184086519,0.006041022172742912,0.011446467112897204,0.00020484477358518043,0.08529468971802068,0.0007235245126116171,,
equal_noise_control,standard,Standard scalarized BT,"(0.00,1.00,0.00)",0.6457056652119808,0.008105371624976515,0.019489491806488596,0.0003025128961361703,0.11019131095504398,0.0007986641876073786,,
equal_noise_control,standard,Standard scalarized BT,"(0.20,0.60,0.20)",0.6750897333424098,0.005740623345869606,0.010690001522203259,0.00015369438116053836,0.08292901297624126,0.0006974842129056997,,
equal_noise_control,standard,Standard scalarized BT,"(0.33,0.33,0.33)",0.6738012829213192,0.003988196754016137,0.008412743572021927,0.00018586149212003366,0.07352307006683616,0.0009416144844781813,,
equal_noise_control,standard,Standard scalarized BT,"(0.50,0.00,0.50)",0.657677226837046,0.0049860415765601756,0.01124324523936623,0.0002728168225191225,0.08437379615969146,0.0010651492271299082,,
equal_noise_control,standard,Standard scalarized BT,"(0.50,0.50,0.00)",0.6855411755882316,0.00496785340422337,0.012421207861991851,0.0001973866298231724,0.0897225982078442,0.0008929473682616708,,
equal_noise_control,standard,Standard scalarized BT,"(0.60,0.30,0.10)",0.6784967362124548,0.002827780796428435,0.01132147952356865,0.00018904568711404734,0.08531275762910447,0.0008327542718726658,,
equal_noise_control,standard,Standard scalarized BT,"(1.00,0.00,0.00)",0.6466437834179642,0.007799544518468187,0.01961064886477434,0.00045061469836910246,0.1104386856442909,0.001159524451105437,,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.00,1.00)",0.6353361304659247,0.002753387927953761,0.015390592263224038,0.0005023688346614492,0.09780440774566074,0.001293756673165549,,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.50,0.50)",0.6643548947734652,0.004342501494432917,0.013105337317545086,0.000516448584887417,0.09112217242822591,0.001684193029941306,,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,1.00,0.00)",0.6670400401451035,0.005801359501025051,0.030093060882545736,0.0013034699995728796,0.1375340977374449,0.002743437729330306,,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.20,0.60,0.20)",0.6809097501554076,0.004439796637175863,0.013901215786068219,0.0006320460335757772,0.09416739677674835,0.002168473314062478,,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.33,0.33,0.33)",0.6704803478126606,0.0035161736599251406,0.0067726595360994195,0.00028457689245430336,0.0655987887070158,0.001373781822060543,,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.00,0.50)",0.6430945166420589,0.004261848376379275,0.005377722800393621,0.00015262486408077267,0.05811883739465131,0.000873979621266368,,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.50,0.00)",0.6803455319967744,0.0037542685963082413,0.010164757873276168,0.0004822229045553884,0.08067000784063863,0.001970284560705031,,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.60,0.30,0.10)",0.6643461357912813,0.0028768470845537226,0.005038057263962413,0.00023174740266879965,0.05653014499134562,0.0013723552272285429,,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(1.00,0.00,0.00)",0.6072146839720748,0.005778152539080077,0.0038497335877431594,0.00017724138508231718,0.04847205343837709,0.0011833999890461344,,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.00,1.00)",0.5998002056608928,0.0037750092538943376,0.0,0.0,0.0,0.0,,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.50,0.50)",0.6361564036321365,0.005651233194760478,0.0,0.0,0.0,0.0,,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,1.00,0.00)",0.5972090674076053,0.007158366936891252,0.0,0.0,0.0,0.0,,
objective_specific_noise,oracle,Oracle latent utility,"(0.20,0.60,0.20)",0.6503748490357303,0.003717575952370762,0.0,0.0,0.0,0.0,,
objective_specific_noise,oracle,Oracle latent utility,"(0.33,0.33,0.33)",0.6581030664711253,0.0032524736773833786,0.0,0.0,0.0,0.0,,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.00,0.50)",0.6312776228376153,0.0050580301100242,0.0,0.0,0.0,0.0,,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.50,0.00)",0.6581658191387058,0.004540101549574675,0.0,0.0,0.0,0.0,,
objective_specific_noise,oracle,Oracle latent utility,"(0.60,0.30,0.10)",0.654371756045063,0.00400186539585958,0.0,0.0,0.0,0.0,,
objective_specific_noise,oracle,Oracle latent utility,"(1.00,0.00,0.00)",0.5986033552892744,0.004757277265183636,0.0,0.0,0.0,0.0,,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.00,1.00)",0.6488787873888028,0.004536862446191093,0.01947289365607259,0.0003623878972604308,0.1102594773240984,0.0010195020681374126,,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.50,0.50)",0.6828690930240767,0.007055539045220846,0.01937660457550317,0.0006495835804244462,0.11175192033483605,0.0018490748250442602,,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,1.00,0.00)",0.7320083741373556,0.00948024573894334,0.04756979856763198,0.0005334881508321776,0.1751839970472649,0.0010223264124216206,,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.20,0.60,0.20)",0.6981591514470832,0.006546774361723172,0.020282223457089667,0.0008026954359970518,0.11469683688123977,0.0024754599343356845,,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.33,0.33,0.33)",0.6760097915886443,0.004430336136645388,0.009216785243963547,0.00032237501619586574,0.07702660050904436,0.0014140238075000468,,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.00,0.50)",0.6452703573045647,0.004901268380440234,0.006158351676523814,0.00016059897461149862,0.06226044170006464,0.0008301123460643111,,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.50,0.00)",0.6904054407528915,0.004470091535124003,0.014117982162430872,0.00044458746011297195,0.09594940933418242,0.0016285071379103836,,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.60,0.30,0.10)",0.6684313666603593,0.0032411575354122403,0.006700612505757322,0.00013592371130233608,0.06581671144291244,0.0006864948964697548,,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(1.00,0.00,0.00)",0.6074416178781634,0.00575296477637662,0.003957364046159791,8.947246371975216e-05,0.04911185287010575,0.0005281767436175791,,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.00,1.00)",0.6342803589249075,0.003208852606199253,0.015014857416366417,0.0004299108350841843,0.09678440210263929,0.0011945127093966462,,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.50,0.50)",0.6692176667494342,0.004113183499005856,0.015022300957155326,0.0003979366278505053,0.09747235464853868,0.0011652548224387795,,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,1.00,0.00)",0.6845739965944504,0.0070368761336464395,0.0355822409866469,0.0011792955828324064,0.14933858455875448,0.002389458487059152,,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.20,0.60,0.20)",0.6877528658881783,0.005069472017465102,0.016621940851846727,0.0006102725142026402,0.10302066308602531,0.001948669230941865,,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.33,0.33,0.33)",0.6725090154436648,0.00402328875567792,0.007897284754115991,0.00024119536627218734,0.07088217424411095,0.001018808724025334,,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.00,0.50)",0.6440706492449993,0.0038624225290330005,0.005810096364431202,0.00011298220086553583,0.06112741380390061,0.0007532735141731592,,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.50,0.00)",0.6855304535685921,0.004511394492457911,0.012458701675872099,0.0005333777625898372,0.08928501294233618,0.001893444279163862,,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.60,0.30,0.10)",0.667020115851541,0.0031033355959247913,0.006302128968170668,0.00014705753275771755,0.06337929920488614,0.0007165118319223965,,
objective_specific_noise,shared_precision,Shared-precision BT,"(1.00,0.00,0.00)",0.6092568059003916,0.004656554499333657,0.004528756502630264,0.0002944460881910836,0.05502314938419711,0.0021181566628033616,,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.00,1.00)",0.6488787873888028,0.004536862446191093,0.01947289365607259,0.0003623878972604308,0.1102594773240984,0.0010195020681374126,,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.50,0.50)",0.687618550377429,0.006192270938916846,0.021111372170112535,0.000270097523904206,0.11675565148769347,0.0007592055115430655,,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,1.00,0.00)",0.7320083741373556,0.00948024573894334,0.04756979856763198,0.0005334881508321776,0.1751839970472649,0.0010223264124216206,,
objective_specific_noise,standard,Standard scalarized BT,"(0.20,0.60,0.20)",0.7102150813119079,0.006763021713485631,0.02436804615656019,0.00026479294959832773,0.1265834969100758,0.0007373394432612096,,
objective_specific_noise,standard,Standard scalarized BT,"(0.33,0.33,0.33)",0.6803950930631562,0.005218491119750193,0.011352964370796996,0.00021938863540132102,0.08566855933365364,0.0009045361333517798,,
objective_specific_noise,standard,Standard scalarized BT,"(0.50,0.00,0.50)",0.6469763056694859,0.005006932455799879,0.006850757641190132,0.00018658604162831034,0.06576779267872948,0.0009403064228791957,,
